HandRight X=0.14  Y=0.29  Z=982.34  | convert 0.6 0.8 
HandRight X=0.14  Y=0.29  Z=984.32  | convert 0.6 0.8 
HandRight X=0.14  Y=0.29  Z=985.73  | convert 0.6 0.8 
HandRight X=0.14  Y=0.29  Z=989.05  | convert 0.6 0.8 
HandRight X=0.13  Y=0.29  Z=994.27  | convert 0.6 0.8 
HandRight X=0.13  Y=0.29  Z=1000.23  | convert 0.6 0.8 
HandRight X=0.12  Y=0.29  Z=1005.84  | convert 0.6 0.8 
HandRight X=0.11  Y=0.29  Z=1010.21  | convert 0.6 0.8 
HandRight X=0.11  Y=0.28  Z=1013.34  | convert 0.6 0.8 
HandRight X=0.10  Y=0.28  Z=1015.25  | convert 0.6 0.8 
HandRight X=0.09  Y=0.28  Z=1016.11  | convert 0.6 0.8 
HandRight X=0.09  Y=0.28  Z=1016.15  | convert 0.6 0.8 
HandRight X=0.08  Y=0.28  Z=1015.77  | convert 0.6 0.8 
HandRight X=0.08  Y=0.27  Z=1015.27  | convert 0.6 0.8 
HandRight X=0.08  Y=0.27  Z=1014.66  | convert 0.6 0.8 
HandRight X=0.07  Y=0.27  Z=1013.64  | convert 0.6 0.8 
HandRight X=0.07  Y=0.27  Z=1012.71  | convert 0.6 0.8 
HandRight X=0.07  Y=0.26  Z=1011.78  | convert 0.6 0.8 
HandRight X=0.07  Y=0.26  Z=1010.97  | convert 0.6 0.8 
HandRight X=0.06  Y=0.26  Z=1010.29  | convert 0.6 0.8 
HandRight X=0.06  Y=0.25  Z=1009.69  | convert 0.6 0.8 
HandRight X=0.06  Y=0.25  Z=1009.19  | convert 0.6 0.8 
HandRight X=0.06  Y=0.25  Z=1008.76  | convert 0.6 0.8 
HandRight X=0.06  Y=0.25  Z=1008.42  | convert 0.6 0.7 
HandRight X=0.06  Y=0.25  Z=1008.16  | convert 0.6 0.7 
HandRight X=0.06  Y=0.25  Z=1007.96  | convert 0.6 0.7 
HandRight X=0.06  Y=0.25  Z=1007.82  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.73  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.68  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.66  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.67  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.67  | convert 0.6 0.7 
HandRight X=0.06  Y=0.24  Z=1007.67  | convert 0.6 0.7 
