copy model: 0
x= 0.000000, y=0.000000, z=0.000000
x= 8.956055, y=0.000000, z=0.000000
x= 24.923309, y=0.000000, z=0.000000
x= 0.000000, y=28.095093, z=0.000000
x= 0.000000, y=28.828308, z=0.000000
x= 0.000000, y=29.691040, z=0.000000
x= 0.000000, y=17.073242, z=0.000000
x= 10.888794, y=0.000000, z=0.000000
x= 6.786072, y=0.000000, z=0.000000
x= 3.343750, y=0.000000, z=0.000000
x= 0.000000, y=0.000000, z=-5.250427
x= 0.000000, y=0.000000, z=-18.593384
x= 0.000000, y=-29.619934, z=0.000000
copy model: 1
x= 0.000000, y=0.000000, z=0.000000
x= 0.000000, y=0.000000, z=7.611633
x= 0.000000, y=0.000000, z=10.878601
x= 17.230286, y=0.000000, z=0.000000
x= 32.323486, y=0.000000, z=0.000000
x= 24.139648, y=0.000000, z=0.000000
x= 12.709717, y=0.000000, z=0.000000
x= 0.000000, y=-9.173798, z=0.000000
x= 0.000000, y=-30.702759, z=0.000000
x= 0.000000, y=-40.816223, z=0.000000
x= 0.000000, y=-38.792053, z=0.000000
x= 0.000000, y=-32.167389, z=0.000000
x= 0.000000, y=-21.533646, z=0.000000
x= 0.000000, y=-17.167328, z=0.000000
x= 0.000000, y=-9.433487, z=0.000000
x= 0.000000, y=-6.238373, z=0.000000
x= 0.000000, y=0.000000, z=-3.788635
x= 0.000000, y=30.869781, z=0.000000
copy model: 2
x= 0.000000, y=0.000000, z=0.000000
x= 6.163574, y=0.000000, z=0.000000
x= 5.270081, y=0.000000, z=0.000000
x= 3.906342, y=0.000000, z=0.000000
x= 2.685364, y=0.000000, z=0.000000
x= 0.000000, y=-7.876648, z=0.000000
x= 0.000000, y=-30.307129, z=0.000000
x= 0.000000, y=-29.076324, z=0.000000
x= 0.000000, y=-19.253998, z=0.000000
x= -31.397003, y=0.000000, z=0.000000
x= -29.305740, y=0.000000, z=0.000000
x= -31.892715, y=0.000000, z=0.000000
x= 0.000000, y=27.777069, z=0.000000
copy model: 3
